index,rating,comment
42886,1.0,"Hr. Dr. Yücel ist freundlich, wendet sich jedem Patienten individuell zu, nimmt sich die notwendige Zeit, bespricht und erläutert die nötigen Behandlungsschritte in verständlicher, klarer Ansprache. <br />
<br />
Mir stellt er zur Behandlung meiner Rückenbeschwerden verschiedene Behandlungsoptionen zur Wahl, z.B. Spritzen, Infusionen oder Tabletten. So ist es möglich, als Patient die als am wirksamsten  und verträglichsten empfundene Behandlungsmethode auszuwählen. Gerade durch diese Schritte hat sich bei mir von der ersten Behandlung an ein Vertrauensverhältnis aufgebaut.<br />
<br />
Ein ganz wichtiger, weiterer Grund, Hern Dr. Yücel zu vertrauen, ist für mich auch: dieser Arzt kann so spritzen, daß man nichts spürt - in so sensiblen Bereichen wie Rücken, Knie, oder anderen Gelenken halte ich das als Patient für absolut essentiell ...<br />
<br />
Als besonders angenehm nehme ich es immer wieder wahr, daß Hr. Dr. Yücel keinerlei Unterschied zwischen Privat-und Kassenpatienten macht. Seine Praxis steht allen Patientinnen und Patienten im Rahmen der Sprechzeiten ohne Termin offen. <br />
<br />
Die Wartezeit beträgt durchschnittlich ca. 30 Minuten und bewegt sich damit für mich in einem absolut akzeptablen Rahmen - vor allem dann, wenn man bedenkt, daß sehr viele Fachärzte, auch Orthopäden, inzwischen dazu übergegangen sind, in ihrer Praxis nur noch nach Terminvergabe zu empfangen!! Überdies kann man seine Wartedauer entsprechend reduzieren, indem man seine Arztbesuche so taktet, daß Spitzenzeiten in der Behandlungfrequenz gemieden werden!<br />
<br />
Ein polyglottes, international aufgestelltes Praxisteam begegnet allen Patientinnen und Patienten freundlich und kompetent - ich fühle mich als Patient hier gut aufgehoben und mit meinen Beschwerden ernstgenommen! Ich kann Herrn Dr. Yücel als Orthopäden nur sehr empfehlen!"
208439,1.0,"wie jeder Kinderpraxis ziemlich voll, aber trotzdem nehmen sie Sich sehr viel Zeit für Ihre kleinen Patienten und selbst für die Eltern egal was eine Frage man hat sie hören immer wieder gerne zu und geben auch antworten ich bin sehr zufrieden mit dieser Praxis und natürlich ich kann sie nur weiter empfehlen."
322035,1.0,Mitten im Herzen von München fand ich diese modern eingerichtete kardiologische Praxis. Termine lassen sich auch bequem online vereinbaren. Bei allen Untersuchungen habe ich mich gut aufgehoben und betreut gefühlt. Die Ärztin nimmt sich für die Erklärung der Diagnose viel Zeit und beantwortet alle Fragen.
392362,1.0,"Den Termin bekam ich ziemlich schnell.  Lediglich 1 Woche Wartezeit musste ich überbrücken. <br />
Was für eine nette Ärztin. Sie konnte problemlos helfen, wo andere Ärzte sich nicht einig waren. Ihr schien nichts fremd zu sein. Ihre offene, herzliche Art nimmt einem schon im Vorfeld viele Bedenken. <br />
Ich fühle mich rundum gut aufgehoben.  Da ich gesetzlich versichert bin, kam ich als Selbstzahler. <br />
Die Kosten hielten sich absolut im Rahmen. <br />
Jetzt bin ich beschwerdefrei  - und das ist unbezahlbar."
128414,3.0,"Kontrolltermine sind o.k., Vorsorgeuntersuchungen bei Schwangerschaft sind sehr gründlich. Eine Entbindung kann ich bei Herrn Dr. Ordu jedoch nicht weiterempfehlen, da er da sehr kurz angebunden war und mich nach der Geburt genäht hat als wäre ich ein totes Stück Fleisch. Seine Aufklärung über ein Schmerzmittel, welches ich nach der Geburt nehmen sollte, war äußerst unklar und  nicht ausreichend! Er hatte wohl einfach keine Lust.."
61667,2.0,Die als Patient zu erwartende Kompetenzen und Qualifikationen sind sehr hoch und zweifelsfrei.
103258,1.0,ist seit 15 Jahren mein Hausarzt und Diabetes Arzt.
121935,5.0,"Meine Konsultation bei Dr. Döring begann mit Vertrauen meinerseits und endete damit, dass mir die Augen geöffnet wurden. Ein ""Finanzbeamter"" mit stereotypem Fragenkatalog, langweilig, rigide, ständig in seiner homöopathischen Bibel blätternd, auch wenn man ihn anrief, ständig neue Globuli ausprobierend, damit die Behandlung lange lange dauert. Für den Homo-patiens eine Zumutung, für mich als Menschen<br />
langweilig, doch großzügig und raumgreifend, was die Rechnung anbelangt. Jede Briefmarke hat ihren eigenen Posten,und wartet auf Bezahlung. Was es nicht alles gibt!"
297537,1.0,"Frau Dr. Ehlert hat sich viel Zeit für uns und unsere Fragen genommen. Die Untersuchungen waren allumfassend und die Behandlung dann schnell sehr erfolgreich. Im Dezember 2018 hatten wir den ersten Termin und im Februar 2019 war ich dann schwanger.<br />
<br />
Auch auf diesem Weg nochmal ein herzliches Dankeschön für Ihre Hilfe."
200819,1.0,"Dr. Orth ist freundlich, kompetent,  er macht eine perfekte Beratung, erklärt alternativen, lässt sich genügend Zeit er hat mein vollstes Vertrauen und mir schon mehrfach perfekt geholfen und mich von starken Schmerzen befreit und geheilt. <br />
Einfach ein Klasse Arzt !! zu 100% weiter zu empfehlen."
169065,1.0,"Nach langem Suchen habe ich jemanden gefunden, der die Beschwerden ernst nimmt und fachlich kompetent ist."
198124,1.0,"Ich bin nun schon seit längerer Zeit Patient, und möchte heute endlich mal ein großes Lob aussprechen.<br />
Herr Wünnemann ist ein sehr netter Zahnarzt. Ebenso sein Team, immer sehr nett und einfühlsam wenn man etwas Angst hat.Auch mein Sohn hat gute Erfahrung in dieser Praxis gemacht.<br />
Und die Räume der Praxis sind sehr angenehm."
245157,1.0,Dr. Gonsch untersucht gründlich und vorsichtig. Er schafft eine angenehme Behandlungsatmosphäre.
300704,1.0,Bin hier mit meinen Jungs in Behandlung. Wir fühlen uns hier immer gut behandelt. Man bekommt immer schnell einen Termin und muss meist auch nicht lange warten. Die Ärztin nimmt sich viel Zeit und die Arzthelferinnen sind alle sehr nett.
184595,1.0,Unsere Kinder gegen gerne zu ihm. Fühlten uns bisher immer gut beraten.
167050,1.0,"Nach 8 Jahren meiner Behandlung mit einer festen Drahtzahnspange im Teeniealter haben sich meine Zähne wieder total verschoben, besonders die frontalen Schneidezähne. Man hat mir 4 gesunde Zähne einfach sinnlos gezogen. Es gab keinen Retainer, alles verschob sich und ich war jahrelang unfassbar unglücklich. <br />
<br />
Durch ein Jahr Betreuung unter Dr. Polzar mit Invisalign kann ich das erste Mal richtig lachen ohne mich unwohl zu fühlen. Ich kann die Behandlung jedem zu 100% weiterempfehlen. Schmerzfrei, unkompliziert, wenig Aufwand, bequem und eine tolle Beratung! Vielen Dank!"
52979,5.0,"Kann mich den negativen Bewertungen hier nur anschließen. War zum ersten und letzten mal dort. Mit meiner eigentlichen Frauenärztin war ich zufrieden, wollte jedoch wechseln, weil bei meiner die Terminvergabe sehr schwierig und langwierig ist. <br />
Es wurde überhaupt kein Vertrauensverhältnis aufgebaut, die ganze Behandlung war sehr lieblos und grob. Gesprochen wurde kaum, was der Atmosphäre nicht half.<br />
<br />
Als ich ein paar Wochen später nochmal anrief, weil ich eine (anscheinend dumme) Frage stellen hatte, wurde ich regelrecht ausgelacht von der Sprechstundenhilfe. <br />
Also Top-Personal auf der ganzen Linie! Wenn man sich verarschen lassen will, ist man hier richtig!!"
184133,1.0,"- Fürsorge und Professionalität stehen an erster Stelle<br />
- alles was Zahnarztbesuche unangenehm machte und macht wird man hier nicht finden"
169061,1.0,"Dickes Dankeschön! Obwohl ich so kurzfristig einen Termin brauchte wegen starker Zahnschmerzen konnte ich noch am gleichen Tag kommen. <br />
Da wo sich kein Notdienst am Wochenende rantraute, hat die Zahnärztin sofort und selbstsicher gehandelt.  Ihr Fachwissen hat mich überzeugt.  Die Betreuung war liebevoll bei und auch nach der Behandlung.<br />
Ich wurde anhand des Röntgenbildes über alles sehr gut aufgeklärt.<br />
Kann diese Praxis ruhigen Gewissens weiter empfehlen!<br />
Liebe Grüsse an das Team!"
338263,1.0,"Sehr zu empfehlen, kompetent und freundlich - hochmoderne Praxis"
44275,4.0,"Scheint überlastet. Dem Personal gegenüber nicht gerade freundlich. Muss ich als Patient nicht bekommen. Zu viele Ärzte in der Praxis. War früher, als nur sie da war, angenehmer."
237423,1.0,Herr Dr. Rauer macht eine hervorragende Arbeit. Auch bei schwierigen Fällen kann man ohne Ängste hingehen. Noch nie haben wir Schmerzen aushalten müssen!
146749,1.0,"Das Wartezimmer ist immer voll, aber dennoch kommen wir mit beiden Kindern innerhalb maximal 1h Wartezeit zur Ortoptistin rein. Dort werden Sehtest durchgeführt und Augendruck gemessen, da familiär bedingt Grüner Star gehäuft auftritt. Schon ab dem En,mpfangsbereich wird uns grundsätzlich freundlich gegenübergetreten. Die Ortoptistin, deren Namen ich mir übrigens einfach nicht merken kann ;) , ist super lieb zu den Kids und führt ihre Untersuchung rasch durch, ohne inkompetenz auszustrahlen. Fr Dr Hommerich selbst ist immer nur kurz zum Schluss dabei, aufgrund ihrer Erfahrung, so schätze ich, sind Ihre Untersuchungen ebenfalls kurz und schmerzlos. Auf Fragen bekommen wir immer eine Antwort, es wird sich (bei dem Betrieb in der Praxis verheältnismäßig viel) Zeit genommen. Wir fühlen uns wohl und können diese Praxis weiterempfehlen. Übrigens reisen wir ca 1 1/2 h an, das ist es uns wert.<br />
<br />
Die Praxis wurde uns vom Glaukom Spezialisten empfohlen, um unseren Sohn zur Glaukomkontrolle zu schicken. In unserer Familie ist das leider erblich bedingt und für's Kind gibt's einfach nur das beste. Da wird dann ein 1 1/2 stündiger Weg nach Berlin West auf Sich genommen. Die Anbindung der Praxis an die öffentlichen Verkehrsmittel ist hervorragend, die Praxis ist angenehm kühl/warm und die Organisation sehr gut durchdacht. Ich verbrachte lediglich 10 Minuten im kindgerechten Wartezimmer. Nicht nur die Ärztin(nen) waren total kompetent, sehr einfühlsam mit dem Kind und haben alles erklärt, auch die Schwestern waren zuvorkommend, freundlich. Fr Dr Hommerich selbst hat lediglich nachkontrolliert und einen neuen Termin zur Kontrolle mit weiteren Tests in einem halben jahr angeordnet. Sie war freundlich, aber im Stress, die Praxis war schließlich voll. Der Gesamteindruck war seeeeehr positiv und ich habe mich in guten Händen gefühlt!"
414651,1.0,"Eine Magen- und Darmspiegelung sind sicherlich keine angenehmen Untersuchungen! Eigentlich schiebt man es immer weiter raus und hofft drum herum zu kommen! Dies passiert aber definitiv nicht und mittlerweile sollte jeder wissen wie wichtig gerade diese Vorsorgeuntersuchungen sind!<br />
Diese Praxis ist wirklich herausragend! Sowohl das Praxisteam als auch die Ärzte ( wobei ich nur Herrn Neuber kennengelernt  habe). Sie sind alle super freundlich, einfühlsam, nehmen sich wirklich die notwendige Zeit und sind vor allem sehr kompetent. Man fühlt sich super aufgenommen, verstanden und man bekommt definitiv nichts unangenehmes dieser Untersuchung mit. Eine wirklich empfehlenswerte sehr schicke Praxis mit tatsächlich ""Wohlfühlcharakter""! Auf einen Termin muss man lange warten (ist ja leider mittlerweile Standard), was sich aber in jedem Fall lohnt! SUPER PRAXIS!"
14129,1.0,"Über 20 Jahren beim Doktor Patient. Bedaure mein Wechsel aber die Anreise mit PKW aus dem Augsburgerraum wird zu umständlich, zumal man ja auch älter wird (69)"
102026,1.0,"Sehr freundlich und kompetent, ebenso das Praxisteam"
334181,1.0,"Hallo. Ich will nur sagen, dass Dr. Ghafur einfach ein richtig guter Artz!!!!! ich habe mich bei ihm beschneiden lassen und bin einfach mega zufrieden!!!! Den Termin sehr schnell bekommen, die Beratung war kompetent und ausführlich, die Op sehr angenehm und schmerzfrei, der Heilungsverlauf war absolut aber wirklich absolut schmerzfrei und unkomliziert. Schon nach 3 Monaten war alles top verheilt und sah sehr gut aus. Die Narber ist total gerade und schön zugeheilt.  Läute geht zu diesem Artz und ihr seid gut und sicher aufgehoben!!!! Kann nur die beste Note geben in allen Punkten!!!!"
290079,1.0,"Beim einsetzten einer Spirale, wurden mir meine  enormen Ängste bereits im Vorraus genommen!! Ich wurde ausführlich, freundlich und vertrauenvoll  aufgeklärt. Die Behandlung an sich lief sehr gut und behutsam ab. Genauso die Nachsorge und Betreuung im Anschluss. Alles in allem ein super Team !! Bin sehr zufrieden!! Hier bleibe ich und kann nur immer wieder weiter empfehlen."
422408,1.0,"eine schnelle und unkomplizierte terminvergabe, eine ausgesprochen kompetente und nette ärztin, die sich viel zeit nimmt, zuhört und berät, eine angenehme atmosphäre in der praxis in haidhausen und dank eines hervorragenden ärztlichen netzwerks von frau dr. kress-mahr auch noch hilfe in weiteren medizinischen fragen - so muss es sein!"
324666,1.0,"Dr. Wegner hat sich viel Zeit genommen und mir alles ausführlich erklärt und gezeigt. Durch seine ruhige, einfühlsame Art nahm er mir viele Ängste. Ich habe mich sehr gut aufgehoben gefühlt und empfehle den Arzt und das komplette, sehr nette Team gern weiter."
25700,1.0,Über Jahre offensichtlich. Immer mit dem Herzen und Können dabei.
432586,1.0,"Bin schon 2 Jahre dort als Patient.<br />
Der neue Doc ist um einiges kompetenter!"
3473,1.0,"Wurde noch nie so freundlich und nett behandelt. Kaum Wartezeiten, alles sehr termintreu und das Helferinnenteam ist auch sehr nett. Kann ich nur weit empfehlen."
255485,1.0,Fühle mich sehr gut aufgehoben.
53137,1.0,"Alles 1a, wie man es sich bei einem Arztbesuch wünscht. Nur die Sprechstundenhilfe wirkte etwas humorlos."
188098,1.0,"Freundliche und kurzfristige Terminvereinbarung, keine Wartezeit,"
199315,1.0,"Frau Dyckow ist eine fachlich versierte Diagnostikerin, die sehr persönlich und äußerst liebesnwürdig auf die Belange des Patienten eingeht. Im Bedarfsfall erhält man auch einen Termin über das Sprechstundenende hinaus. Sie begleitet mit Sorgfalt und Einfühlungsvermögen den Patienten während seiner Beschwerden. Sie kann auffallend gut mit Kindern umgehen. Ihre Nachsorge ist sehr fürsorglich und ärztlich fundiert."
167978,1.0,"Ich bin eigentlich Patientin bei Frau Dr. Lammel in der gleichen Praxisgemeinschaft und hatte aber nach meiner Nebenhölenoperation sowie auch jetzt bei meinem ersten Hörsturz das Vergnügen auf Herr Dr. Steffens zu treffen. <br />
Herr Steffens strahlt eine angenehme Ruhe aus, hört sich geduldig meine Sorgen an und behandelt ebenso gut wie seine Kollegin kompetent und fachkundig. Ich bin sehr Dankbar wie gut die Zusammenarbeit in dieser Praxis funktioniert. Schwestern und Ärzte arbeiten Hand in Hand und sind immer um das Wohl ihrer Patienten bemüht. Lieben Dank an so ein tolles Team!"
44157,1.0,"Ich und mein Sohn sind  Patienten  beim  Dr.Fleischmann . <br />
Er ist kompetent, freundlich  und klärt gut auf. <br />
Ich bin sehr zufrieden , da er  auch Erfahrung im Umgang mit  Kindern hat.<br />
Kann  den Arzt nur weiter empfehlen!!!!"
244315,1.0,Sehr netter und kompetenter Arzt. Freundliche Mitarbeiter und saubere Praxis.
283295,1.0,"Ich fühle mich sehr gut aufgehoben und immer gut beraten, auch bei schwierigen Fragen. Die Ärztin nimmt sich Zeit und versetzt sich in die Lage der Patientin. Super Behandlung, gut abgewägt, was gemacht werden muss. Das beste Resultat, welches ich mir erhoffen konnte! Sehr professionell und sensationell auf ihrem Gebiet."
12811,1.0,"Meine, mittlerweile fast 6-jährige, Erfahrung mit der Ärztin (bzw. der gesamten Praxisbelegschaft) ist sehr gut!<br />
Nicht nur mein Sohn fühlte sich von anfangan dort sehr wohl, sondern ich als Mama ebenfalls. Nun bin ich auch mit meinem zweiten Kind (9 Monate) in der Praxis und es hat sich nichts geändert...<br />
- sehr einfühlsamer Umgang mit den Kindern<br />
- nimmt sich Zeit für Fragen und Probleme<br />
- versucht Termine optimal für Mutter und Kind zu legen (KiTa, Schlafzeiten etc.)<br />
- keine langen Wartezeiten (auch nicht bei Terminvereinbarungen)<br />
Ich bin super zufrieden und kann sie nur jedem weiterempfehlen!!!"
266067,1.0,"Dr. Zehrfeld ist ein sehr netter, vertrauenswürdiger und kompetenter Frauenarzt. Ich bin schon seit 6 Jahren seine Patientin und kann ihn nur weiter empfehlen. Kurze Wartezeiten, nettes Praxisteam, gute Location, U-Bahn Station erreicht man in 2 Minuten. Bei dem Dr. Zehrfeld fühle ich mich wohl und sicher. Empfehlenswert!"
22923,1.0,"Dr. Schmeling wurde mir von 2 verschiedenen Orthopäden für meine Operation empfohlen. Dies konnte er auch bei mir bestätigen. Er hat das Kreuzband und die beiden Minisken top operiert, sich zeit genommen und mir alle fragen beantwortetich kann ihn auch nur weiter empfelen!!!"
225511,5.0,Der Arzt hat meinen MRT Bericht überflogen und mich dann zum Neurologen überwiesen. Bin dann zu einen anderen Orthopäden gegangen der mir persönlich empfohlen wurde. Der Arzt hat sich viel Zeit genommen und konnte mir durch eine kleine Op weiterhelfen.Dr Haugwitz ist immer kurz angebunden gewesen. Dort gehe ich nie wieder hin
115892,1.0,Ein sehr guter und erfahrener Arzt!! Ich bin schon viele Jahre bei ihm in Behandlung und sehr zufrieden!
105106,1.0,Dr Afridi macht einen sehr kompetenten Eindruck. Für mich hat er sich während der Behandlungen reichlich Zeit genommen und immer erklärt was er als nächstes tun wird. Auch die Zahnarzthelferinnen sind sehr nett und hervorkommend. Ich besuche gerne diese Praxis und kann sie auch jedem weiterempfehlen.
231551,1.0,was soll ich sagen er ist mein Hausarzt seit Jahrzehnten ! Und das sagt doch alles.
196905,2.0,"Keine lange Wartezeit, nettes und offenes Gespräch mit dem Arzt, Kontrolluntersuchung"
111822,4.0,"Eine Frauenärztin sollte vertrauenswürdig sein und einfühlsam was in dieser Praxis leider so gar nicht der Fall war, ich wurde unfreundliche behandelt und bei Fragen die mir Persönlich sehr wichtig waren und ich teilweise auch Angst hatte nur angezickt."
