cluster_id,issue_category,issue_summary,severity_level,severity_score,affected_patients,percentage,negative_sentiment_pct,avg_rating,evidence,recommended_action,action_priority,classification_confidence,keywords
8,Clinical Quality,"Main issues of the patients in this topic were expressing gratitude towards their respective doctors for providing effective diagnoses, successful surgeries, and excellent post-operative care. They highlighted the doctors' competence, friendliness, attentiveness, and ability to provide personalized attention. Overall, positive sentiments were expressed regarding the quality of medical care received.",Medium,47.42,399,6.65,8.52,0.99,"399 patients affected (6.7% of total); 8.5% negative sentiment; average rating 0.99/5.0; key terms: للغاية,  الدكتور,  دائم,  الطبيب,  أوصي",Establish treatment protocol reviews,3,0.43,"للغاية, الدكتور, دائم, الطبيب, أوصي, السيدة, الوقت, الممارسة, بشكل, أمينة"
6,Staff Development,"Main issues of the patients in this topic were unfriendliness of some staff members, particularly those at reception, and perceived arrogance from certain doctors. Overall sentiment was mixed, with many expressing satisfaction with their care but others reporting negative experiences.",Medium,47.16,416,6.93,6.97,1.07,"416 patients affected (6.9% of total); 7.0% negative sentiment; average rating 1.07/5.0; key terms: très,  zeit,  freundlich,  immer,  patienten",Implement staff recognition program,1,0.43,"très, zeit, freundlich, immer, patienten, kompetent, competent, friendly, practice, time"
6,Staff Development,"Main issues of the patients in this topic were unfriendliness of some staff members, particularly those at reception, and perceived arrogance from certain doctors. Overall sentiment was mixed, with many expressing satisfaction with their care but others reporting negative experiences.",Medium,47.16,416,6.93,6.97,1.07,"416 patients affected (6.9% of total); 7.0% negative sentiment; average rating 1.07/5.0; key terms: très,  zeit,  freundlich,  immer,  patienten",Provide customer service training,2,0.43,"très, zeit, freundlich, immer, patienten, kompetent, competent, friendly, practice, time"
6,Staff Development,"Main issues of the patients in this topic were unfriendliness of some staff members, particularly those at reception, and perceived arrogance from certain doctors. Overall sentiment was mixed, with many expressing satisfaction with their care but others reporting negative experiences.",Medium,47.16,416,6.93,6.97,1.07,"416 patients affected (6.9% of total); 7.0% negative sentiment; average rating 1.07/5.0; key terms: très,  zeit,  freundlich,  immer,  patienten",Establish patient feedback loop to staff,3,0.43,"très, zeit, freundlich, immer, patienten, kompetent, competent, friendly, practice, time"
1,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, perceived lack of attention from staff, and uncertainty regarding the competence of some doctors. Overall, patients expressed mixed feelings towards their experiences, with some expressing satisfaction and others considering changing doctors.",Medium,45.26,276,4.6,22.1,1.23,"276 patients affected (4.6% of total); 22.1% negative sentiment; average rating 1.23/5.0; key terms: time,  practice,  always,  good,  friendly",Implement appointment reminder system to reduce no-shows,1,0.29,"time, practice, always, good, friendly, treatment, also, waiting, takes, patients"
1,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, perceived lack of attention from staff, and uncertainty regarding the competence of some doctors. Overall, patients expressed mixed feelings towards their experiences, with some expressing satisfaction and others considering changing doctors.",Medium,45.26,276,4.6,22.1,1.23,"276 patients affected (4.6% of total); 22.1% negative sentiment; average rating 1.23/5.0; key terms: time,  practice,  always,  good,  friendly",Optimize scheduling algorithm to reduce wait times,2,0.29,"time, practice, always, good, friendly, treatment, also, waiting, takes, patients"
1,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, perceived lack of attention from staff, and uncertainty regarding the competence of some doctors. Overall, patients expressed mixed feelings towards their experiences, with some expressing satisfaction and others considering changing doctors.",Medium,45.26,276,4.6,22.1,1.23,"276 patients affected (4.6% of total); 22.1% negative sentiment; average rating 1.23/5.0; key terms: time,  practice,  always,  good,  friendly",Add real-time wait time notifications,3,0.29,"time, practice, always, good, friendly, treatment, also, waiting, takes, patients"
10,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, perceived indifference, and lack of communication from some doctors. Overall, patients expressed satisfaction with those who were friendly, competent, and attentive, but frustration towards those who appeared unapproachable or dismissive.",Medium,44.73,352,5.87,7.95,1.01,"352 patients affected (5.9% of total); 8.0% negative sentiment; average rating 1.01/5.0; key terms: très,  temps,  prend,  time,  zeit",Implement appointment reminder system to reduce no-shows,1,0.29,"très, temps, prend, time, zeit, questions, bien, waiting, toujours, nimmt"
10,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, perceived indifference, and lack of communication from some doctors. Overall, patients expressed satisfaction with those who were friendly, competent, and attentive, but frustration towards those who appeared unapproachable or dismissive.",Medium,44.73,352,5.87,7.95,1.01,"352 patients affected (5.9% of total); 8.0% negative sentiment; average rating 1.01/5.0; key terms: très,  temps,  prend,  time,  zeit",Optimize scheduling algorithm to reduce wait times,2,0.29,"très, temps, prend, time, zeit, questions, bien, waiting, toujours, nimmt"
10,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, perceived indifference, and lack of communication from some doctors. Overall, patients expressed satisfaction with those who were friendly, competent, and attentive, but frustration towards those who appeared unapproachable or dismissive.",Medium,44.73,352,5.87,7.95,1.01,"352 patients affected (5.9% of total); 8.0% negative sentiment; average rating 1.01/5.0; key terms: très,  temps,  prend,  time,  zeit",Add real-time wait time notifications,3,0.29,"très, temps, prend, time, zeit, questions, bien, waiting, toujours, nimmt"
5,Operational Efficiency,"Main issues of the patients in this topic were long waiting times and perceived lack of empathy from doctors.
Despite generally positive experiences with their care, many parents expressed frustration over extended waits and felt that their concerns were not fully addressed by some practitioners.",Medium,44.02,291,4.85,20.27,1.44,"291 patients affected (4.8% of total); 20.3% negative sentiment; average rating 1.44/5.0; key terms: wurde,  behandlung,  zeit,  immer,  jahren",Implement appointment reminder system to reduce no-shows,1,0.29,"wurde, behandlung, zeit, immer, jahren, schon, patienten, freundlich, seit, mehr"
5,Operational Efficiency,"Main issues of the patients in this topic were long waiting times and perceived lack of empathy from doctors.
Despite generally positive experiences with their care, many parents expressed frustration over extended waits and felt that their concerns were not fully addressed by some practitioners.",Medium,44.02,291,4.85,20.27,1.44,"291 patients affected (4.8% of total); 20.3% negative sentiment; average rating 1.44/5.0; key terms: wurde,  behandlung,  zeit,  immer,  jahren",Optimize scheduling algorithm to reduce wait times,2,0.29,"wurde, behandlung, zeit, immer, jahren, schon, patienten, freundlich, seit, mehr"
5,Operational Efficiency,"Main issues of the patients in this topic were long waiting times and perceived lack of empathy from doctors.
Despite generally positive experiences with their care, many parents expressed frustration over extended waits and felt that their concerns were not fully addressed by some practitioners.",Medium,44.02,291,4.85,20.27,1.44,"291 patients affected (4.8% of total); 20.3% negative sentiment; average rating 1.44/5.0; key terms: wurde,  behandlung,  zeit,  immer,  jahren",Add real-time wait time notifications,3,0.29,"wurde, behandlung, zeit, immer, jahren, schon, patienten, freundlich, seit, mehr"
9,Clinical Quality,"Main issues of the patients in this topic were concerns about insufficient examination time, lack of personalized attention, and perceived old-fashioned methods. Overall, there was a mix of satisfaction and dissatisfaction with the doctors' competency and communication skills. Some patients expressed disappointment with the length of treatments and their outcomes. Others praised the doctors for their thoroughness, friendliness, and alternative approach to treatment.",Medium,42.73,316,5.27,7.59,1.02,"316 patients affected (5.3% of total); 7.6% negative sentiment; average rating 1.02/5.0; key terms: behandlung,  patienten,  très,  zeit,  immer",Implement clinical quality improvement program,1,0.29,"behandlung, patienten, très, zeit, immer, patients, tout, wurde, temps, être"
9,Clinical Quality,"Main issues of the patients in this topic were concerns about insufficient examination time, lack of personalized attention, and perceived old-fashioned methods. Overall, there was a mix of satisfaction and dissatisfaction with the doctors' competency and communication skills. Some patients expressed disappointment with the length of treatments and their outcomes. Others praised the doctors for their thoroughness, friendliness, and alternative approach to treatment.",Medium,42.73,316,5.27,7.59,1.02,"316 patients affected (5.3% of total); 7.6% negative sentiment; average rating 1.02/5.0; key terms: behandlung,  patienten,  très,  zeit,  immer",Provide continuing medical education,2,0.29,"behandlung, patienten, très, zeit, immer, patients, tout, wurde, temps, être"
9,Clinical Quality,"Main issues of the patients in this topic were concerns about insufficient examination time, lack of personalized attention, and perceived old-fashioned methods. Overall, there was a mix of satisfaction and dissatisfaction with the doctors' competency and communication skills. Some patients expressed disappointment with the length of treatments and their outcomes. Others praised the doctors for their thoroughness, friendliness, and alternative approach to treatment.",Medium,42.73,316,5.27,7.59,1.02,"316 patients affected (5.3% of total); 7.6% negative sentiment; average rating 1.02/5.0; key terms: behandlung,  patienten,  très,  zeit,  immer",Establish treatment protocol reviews,3,0.29,"behandlung, patienten, très, zeit, immer, patients, tout, wurde, temps, être"
19,Staff Development,"Main issues of the patients in this topic were long waiting times for appointments and consultations, lack of empathy from some doctors, and insufficient communication skills. Overall, there was a mixed sentiment towards the quality of care provided, with some expressing satisfaction while others reported negative experiences. Operational implications include addressing wait times through improved scheduling and staffing, enhancing interpersonal skills training for medical personnel, and implementing effective communication strategies between patients and providers.",Medium,41.51,263,4.38,14.83,1.26,263 patients affected (4.4% of total); 14.8% negative sentiment; average rating 1.26/5.0,Implement staff recognition program,1,0.43,
19,Staff Development,"Main issues of the patients in this topic were long waiting times for appointments and consultations, lack of empathy from some doctors, and insufficient communication skills. Overall, there was a mixed sentiment towards the quality of care provided, with some expressing satisfaction while others reported negative experiences. Operational implications include addressing wait times through improved scheduling and staffing, enhancing interpersonal skills training for medical personnel, and implementing effective communication strategies between patients and providers.",Medium,41.51,263,4.38,14.83,1.26,263 patients affected (4.4% of total); 14.8% negative sentiment; average rating 1.26/5.0,Provide customer service training,2,0.43,
19,Staff Development,"Main issues of the patients in this topic were long waiting times for appointments and consultations, lack of empathy from some doctors, and insufficient communication skills. Overall, there was a mixed sentiment towards the quality of care provided, with some expressing satisfaction while others reported negative experiences. Operational implications include addressing wait times through improved scheduling and staffing, enhancing interpersonal skills training for medical personnel, and implementing effective communication strategies between patients and providers.",Medium,41.51,263,4.38,14.83,1.26,263 patients affected (4.4% of total); 14.8% negative sentiment; average rating 1.26/5.0,Establish patient feedback loop to staff,3,0.43,
16,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, rude receptionists, and lack of communication between staff members.
Despite generally positive experiences with competent and caring doctors and nurses, patients expressed frustration with administrative inefficiencies and poor organization.",Medium,39.9,205,3.42,17.56,1.23,"205 patients affected (3.4% of total); 17.6% negative sentiment; average rating 1.23/5.0; key terms: très,  cabinet,  temps,  attente,  toujours",Implement appointment reminder system to reduce no-shows,1,0.43,"très, cabinet, temps, attente, toujours, plus, patients, time, bien, sympathique"
16,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, rude receptionists, and lack of communication between staff members.
Despite generally positive experiences with competent and caring doctors and nurses, patients expressed frustration with administrative inefficiencies and poor organization.",Medium,39.9,205,3.42,17.56,1.23,"205 patients affected (3.4% of total); 17.6% negative sentiment; average rating 1.23/5.0; key terms: très,  cabinet,  temps,  attente,  toujours",Optimize scheduling algorithm to reduce wait times,2,0.43,"très, cabinet, temps, attente, toujours, plus, patients, time, bien, sympathique"
16,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, rude receptionists, and lack of communication between staff members.
Despite generally positive experiences with competent and caring doctors and nurses, patients expressed frustration with administrative inefficiencies and poor organization.",Medium,39.9,205,3.42,17.56,1.23,"205 patients affected (3.4% of total); 17.6% negative sentiment; average rating 1.23/5.0; key terms: très,  cabinet,  temps,  attente,  toujours",Add real-time wait time notifications,3,0.43,"très, cabinet, temps, attente, toujours, plus, patients, time, bien, sympathique"
3,Staff Development,"Main issues of the patients in this topic were friendliness and professionalism of the medical staff, as well as long wait times for appointments. Overall sentiment expressed was mixed, with some patients praising the care and attention received while others found the environment cold and impersonal. Operational implication suggests addressing wait times to improve patient satisfaction.",Medium,39.74,287,4.78,2.44,0.93,"287 patients affected (4.8% of total); 2.4% negative sentiment; average rating 0.93/5.0; key terms: très,  good,  sympathique,  للغاية,  friendly",Implement staff recognition program,1,0.57,"très, good, sympathique, للغاية, friendly, freundlich, kompetent, competent, super, toujours"
3,Staff Development,"Main issues of the patients in this topic were friendliness and professionalism of the medical staff, as well as long wait times for appointments. Overall sentiment expressed was mixed, with some patients praising the care and attention received while others found the environment cold and impersonal. Operational implication suggests addressing wait times to improve patient satisfaction.",Medium,39.74,287,4.78,2.44,0.93,"287 patients affected (4.8% of total); 2.4% negative sentiment; average rating 0.93/5.0; key terms: très,  good,  sympathique,  للغاية,  friendly",Provide customer service training,2,0.57,"très, good, sympathique, للغاية, friendly, freundlich, kompetent, competent, super, toujours"
3,Staff Development,"Main issues of the patients in this topic were friendliness and professionalism of the medical staff, as well as long wait times for appointments. Overall sentiment expressed was mixed, with some patients praising the care and attention received while others found the environment cold and impersonal. Operational implication suggests addressing wait times to improve patient satisfaction.",Medium,39.74,287,4.78,2.44,0.93,"287 patients affected (4.8% of total); 2.4% negative sentiment; average rating 0.93/5.0; key terms: très,  good,  sympathique,  للغاية,  friendly",Establish patient feedback loop to staff,3,0.57,"très, good, sympathique, للغاية, friendly, freundlich, kompetent, competent, super, toujours"
7,Clinical Quality,"Main issues of the patients in this topic were unclear and lengthy responses from medical personnel, as well as perceived lack of interest or understanding towards their questions. Overall, patients expressed satisfaction with competency and friendliness of healthcare providers but frustration with long wait times and perceived indifference to their concerns.",Medium,39.14,135,2.25,26.67,1.38,"135 patients affected (2.2% of total); 26.7% negative sentiment; average rating 1.38/5.0; key terms: très,  practice,  team,  friendly,  treatment",Implement clinical quality improvement program,1,0.43,"très, practice, team, friendly, treatment, well, good, competent, patients, always"
7,Clinical Quality,"Main issues of the patients in this topic were unclear and lengthy responses from medical personnel, as well as perceived lack of interest or understanding towards their questions. Overall, patients expressed satisfaction with competency and friendliness of healthcare providers but frustration with long wait times and perceived indifference to their concerns.",Medium,39.14,135,2.25,26.67,1.38,"135 patients affected (2.2% of total); 26.7% negative sentiment; average rating 1.38/5.0; key terms: très,  practice,  team,  friendly,  treatment",Provide continuing medical education,2,0.43,"très, practice, team, friendly, treatment, well, good, competent, patients, always"
7,Clinical Quality,"Main issues of the patients in this topic were unclear and lengthy responses from medical personnel, as well as perceived lack of interest or understanding towards their questions. Overall, patients expressed satisfaction with competency and friendliness of healthcare providers but frustration with long wait times and perceived indifference to their concerns.",Medium,39.14,135,2.25,26.67,1.38,"135 patients affected (2.2% of total); 26.7% negative sentiment; average rating 1.38/5.0; key terms: très,  practice,  team,  friendly,  treatment",Establish treatment protocol reviews,3,0.43,"très, practice, team, friendly, treatment, well, good, competent, patients, always"
15,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, lack of communication, and insufficient attention to concerns and questions. Overall, patients expressed dissatisfaction with the level of care and professionalism they received.",Medium,38.07,133,2.22,27.07,1.57,"133 patients affected (2.2% of total); 27.1% negative sentiment; average rating 1.57/5.0; key terms: zeit,  immer,  wurde,  behandlung,  freundlich",Implement appointment reminder system to reduce no-shows,1,0.29,"zeit, immer, wurde, behandlung, freundlich, team, empfehlen, patienten, nimmt, schon"
15,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, lack of communication, and insufficient attention to concerns and questions. Overall, patients expressed dissatisfaction with the level of care and professionalism they received.",Medium,38.07,133,2.22,27.07,1.57,"133 patients affected (2.2% of total); 27.1% negative sentiment; average rating 1.57/5.0; key terms: zeit,  immer,  wurde,  behandlung,  freundlich",Optimize scheduling algorithm to reduce wait times,2,0.29,"zeit, immer, wurde, behandlung, freundlich, team, empfehlen, patienten, nimmt, schon"
15,Operational Efficiency,"Main issues of the patients in this topic were long waiting times, lack of communication, and insufficient attention to concerns and questions. Overall, patients expressed dissatisfaction with the level of care and professionalism they received.",Medium,38.07,133,2.22,27.07,1.57,"133 patients affected (2.2% of total); 27.1% negative sentiment; average rating 1.57/5.0; key terms: zeit,  immer,  wurde,  behandlung,  freundlich",Add real-time wait time notifications,3,0.29,"zeit, immer, wurde, behandlung, freundlich, team, empfehlen, patienten, nimmt, schon"
